end_lat,Conteo_geographic_pos,end_lng,member_casual
41.77,1,-87.75,casual
41.77,6,-87.74,casual
41.77,1,-87.74,member
41.77,27,-87.73,casual
41.77,2,-87.73,member
41.77,25,-87.72,casual
41.77,6,-87.72,member
41.77,15,-87.71,casual
41.77,2,-87.71,member
41.77,20,-87.7,casual
41.77,1,-87.7,member
41.77,14,-87.69,casual
41.77,2,-87.69,member
41.77,3,-87.68,casual
41.77,9,-87.68,member
41.77,2,-87.67,casual
41.77,2,-87.66,casual
41.77,3,-87.66,member
41.77,9,-87.65,casual
41.77,4,-87.65,member
41.77,25,-87.64,casual
41.77,1,-87.64,member
41.77,21,-87.63,casual
41.77,2,-87.63,member
41.77,8,-87.62,casual
41.77,1,-87.62,member
41.77,34,-87.61,casual
41.77,3,-87.61,member
41.77,17,-87.6,casual
41.77,2,-87.6,member
41.77,24,-87.59,casual
41.77,13,-87.59,member
41.77,31,-87.58,casual
41.77,21,-87.58,member
41.77,37,-87.57,casual
41.77,38,-87.57,member
41.77,4,-87.56,casual
41.77,2,-87.56,member
41.773458,2,-87.58534,casual
41.7734585,37,-87.58533974,casual
41.7734585,10,-87.58533974,member
41.77351755,39,-87.57714283,casual
41.77351755,8,-87.57714283,member
41.773518,1,-87.577143,casual
41.773643,55,-87.567514,casual
41.773643,49,-87.567514,member
41.77372095,14,-87.60563486,casual
41.77372095,14,-87.60563486,member
41.773721,2,-87.605635,casual
41.774074,3,-87.663815,casual
41.775393,3,-87.654308,casual
41.778881,28,-87.586647,casual
41.778881,14,-87.586647,member
41.779374,3,-87.664843,casual
41.779374,5,-87.664843,member
41.77938114,19,-87.64462081,casual
41.77938114,3,-87.64462081,member
41.779835,7,-87.634774,casual
41.779835,2,-87.634774,member
41.77987,6,-87.650919,casual
41.77987,3,-87.650919,member
41.78,5,-87.74,casual
41.78,16,-87.73,casual
41.78,18,-87.73,member
41.78,37,-87.72,casual
41.78,38,-87.72,member
41.78,50,-87.71,casual
41.78,8,-87.71,member
41.78,36,-87.7,casual
41.78,9,-87.7,member
41.78,13,-87.69,casual
41.78,2,-87.69,member
41.78,4,-87.68,casual
41.78,1,-87.68,member
41.78,5,-87.67,casual
41.78,14,-87.67,member
41.78,10,-87.66,casual
41.78,2,-87.66,member
41.78,4,-87.65,casual
41.78,3,-87.65,member
41.78,3,-87.64,casual
41.78,1,-87.64,member
41.78,12,-87.63,casual
41.78,10,-87.62,casual
41.78,1,-87.62,member
41.78,31,-87.61,casual
41.78,29,-87.61,member
41.78,48,-87.6,casual
41.78,126,-87.6,member
41.78,35,-87.59,casual
41.78,22,-87.59,member
41.78,8,-87.58,casual
41.78,3,-87.58,member
41.78,27,-87.57,casual
41.78,13,-87.57,member
41.78007963,19,-87.62974631,casual
41.78007963,10,-87.62974631,member
41.78008,1,-87.629746,casual
41.78008064,19,-87.61594286,casual
41.78008064,17,-87.61594286,member
41.78040565,50,-87.59141599,casual
41.78040565,19,-87.59141599,member
41.780406,1,-87.591416,casual
41.78053094,24,-87.6059702,casual
41.78053094,10,-87.6059702,member
41.780531,2,-87.60597,casual
41.780595,9,-87.584846,casual
41.780595,9,-87.584846,member
41.78060095,51,-87.60583609,casual
41.78060095,55,-87.60583609,member
41.78091096,32,-87.57632375,casual
41.78091096,32,-87.57632375,member
41.780911,12,-87.576324,casual
41.783189,7,-87.654372,casual
41.784071,1,-87.614484,casual
41.78407107,19,-87.61448354,casual
41.78407107,19,-87.61448354,member
41.78509617,1,-87.6011535,casual
41.785097,12,-87.601073,casual
41.78509715,231,-87.60107276,casual
41.78509715,631,-87.60107276,member
41.78586107,22,-87.67414391,casual
41.78586107,1,-87.67414391,member
41.786833,6,-87.666215,casual
41.787539,5,-87.644874,casual
41.787539,1,-87.644874,member
41.78793417,1,-87.58883933,casual
41.78794281,55,-87.58831517,casual
41.78794281,139,-87.58831517,member
41.787943,3,-87.588315,casual
41.788746,106,-87.601334,casual
41.788746,367,-87.601334,member
41.78969688,1,-87.6546979,casual
41.78969688,1,-87.6546979,member
41.79,1,-87.8,casual
41.79,10,-87.74,casual
41.79,2,-87.74,member
41.79,12,-87.73,casual
41.79,25,-87.73,member
41.79,36,-87.72,casual
41.79,8,-87.72,member
41.79,49,-87.71,casual
41.79,9,-87.71,member
41.79,86,-87.7,casual
41.79,21,-87.7,member
41.79,70,-87.69,casual
41.79,4,-87.69,member
41.79,4,-87.68,casual
41.79,1,-87.68,member
41.79,1,-87.67,member
41.79,5,-87.66,casual
41.79,4,-87.66,member
41.79,4,-87.65,casual
41.79,13,-87.65,member
41.79,17,-87.63,casual
41.79,13,-87.63,member
41.79,18,-87.62,casual
41.79,18,-87.62,member
41.79,12,-87.61,casual
41.79,12,-87.61,member
41.79,129,-87.6,casual
41.79,356,-87.6,member
41.79,53,-87.59,casual
41.79,182,-87.59,member
41.79,33,-87.58,casual
41.79,31,-87.58,member
41.791478,234,-87.599861,casual
41.791478,698,-87.599861,member
41.791568,7,-87.607852,casual
41.79156801,16,-87.60785218,casual
41.79156801,48,-87.60785218,member
41.791728,31,-87.583945,casual
41.79172821,209,-87.58394501,casual
41.79172821,117,-87.58394501,member
41.792822,11,-87.664429,casual
41.792822,2,-87.664429,member
41.79292965,2,-87.64499006,casual
41.79293,1,-87.64499,casual
41.793242,166,-87.587782,casual
41.793242,270,-87.587782,member
41.79342946,18,-87.61585326,casual
41.79342946,7,-87.61585326,member
41.79346683,1,-87.61586083,casual
41.794087,15,-87.675478,casual
41.794087,1,-87.675478,member
41.794228,17,-87.655073,casual
41.794228,5,-87.655073,member
41.79430062,175,-87.60144977,casual
41.79430062,876,-87.60144977,member
41.794301,3,-87.60145,casual
41.794853,48,-87.618691,casual
41.794853,58,-87.618691,member
41.794982,16,-87.633124,casual
41.794982,12,-87.633124,member
41.795212,461,-87.580715,casual
41.795212,480,-87.580715,member
41.795264,190,-87.596471,casual
41.795264,364,-87.596471,member
41.796642,3,-87.625923,casual
41.796642,4,-87.625923,member
41.799336,3,-87.600958,casual
41.79933626,85,-87.60095811,casual
41.79933626,327,-87.60095811,member
41.799494,24,-87.58645,casual
41.79949429,218,-87.5864499,casual
41.79949429,305,-87.5864499,member
41.799568,401,-87.594747,casual
41.799568,739,-87.594747,member
41.799659,6,-87.657195,casual
41.799659,2,-87.657195,member
41.8,1,-87.77,casual
41.8,4,-87.76,casual
41.8,31,-87.75,casual
41.8,2,-87.75,member
41.8,10,-87.74,casual
41.8,2,-87.74,member
41.8,27,-87.73,casual
41.8,3,-87.73,member
41.8,56,-87.72,casual
41.8,43,-87.72,member
41.8,32,-87.71,casual
41.8,5,-87.71,member
41.8,103,-87.7,casual
41.8,42,-87.7,member
41.8,34,-87.69,casual
41.8,13,-87.69,member
41.8,34,-87.68,casual
41.8,9,-87.68,member
41.8,16,-87.67,casual
41.8,1,-87.67,member
41.8,12,-87.66,casual
41.8,6,-87.66,member
41.8,5,-87.65,casual
41.8,2,-87.65,member
41.8,1,-87.64,casual
41.8,3,-87.63,casual
41.8,1,-87.63,member
41.8,13,-87.62,casual
41.8,11,-87.62,member
41.8,11,-87.61,casual
41.8,13,-87.61,member
41.8,97,-87.6,casual
41.8,203,-87.6,member
41.8,235,-87.59,casual
41.8,363,-87.59,member
41.8,89,-87.58,casual
41.8,130,-87.58,member
41.800908,16,-87.674684,casual
41.80183164,22,-87.6452139,casual
41.80183164,16,-87.6452139,member
41.801832,3,-87.645214,casual
41.80229465,29,-87.61805358,casual
41.80229465,34,-87.61805358,member
41.802295,1,-87.618054,casual
41.802406,248,-87.586924,casual
41.802406,335,-87.586924,member
41.802562,138,-87.590368,casual
41.802562,214,-87.590368,member
41.803023,2,-87.664699,casual
41.803023,4,-87.664699,member
41.803038,70,-87.606615,casual
41.803038,63,-87.606615,member
41.805661,19,-87.683392,casual
41.805661,3,-87.683392,member
41.805772,26,-87.592464,casual
41.805772,48,-87.592464,member
41.80813391,17,-87.64561655,casual
41.80813391,8,-87.64561655,member
41.808134,3,-87.645617,casual
41.808227,31,-87.67718,casual
41.808227,4,-87.67718,member
41.80839,10,-87.656526,casual
41.80887,15,-87.66454,casual
41.80887,28,-87.66454,member
41.80931771,20,-87.63344929,casual
41.80931771,7,-87.63344929,member
41.809443,119,-87.591875,casual
41.809443,126,-87.591875,member
41.809835,53,-87.599383,casual
41.809835,94,-87.599383,member
41.809851,31,-87.616279,casual
41.809851,14,-87.616279,member
41.809855,56,-87.606755,casual
41.809855,46,-87.606755,member
41.81,4,-87.75,casual
41.81,6,-87.74,casual
41.81,9,-87.73,casual
41.81,12,-87.73,member
41.81,28,-87.72,casual
41.81,20,-87.72,member
41.81,16,-87.71,casual
41.81,17,-87.71,member
41.81,46,-87.7,casual
41.81,11,-87.7,member
41.81,46,-87.69,casual
41.81,13,-87.69,member
41.81,14,-87.68,casual
41.81,9,-87.68,member
41.81,23,-87.67,casual
41.81,19,-87.67,member
41.81,5,-87.66,casual
41.81,1,-87.66,member
41.81,2,-87.65,casual
41.81,14,-87.65,member
41.81,11,-87.64,casual
41.81,1,-87.64,member
41.81,8,-87.63,casual
41.81,4,-87.63,member
41.81,24,-87.62,casual
41.81,20,-87.62,member
41.81,16,-87.61,casual
41.81,34,-87.61,member
41.81,28,-87.6,casual
41.81,49,-87.6,member
41.81,28,-87.59,casual
