ride_length,Conteo_ridelength,member_casual
00:07:40,1865,casual
00:07:40,3429,member
00:07:41,1887,casual
00:07:41,3360,member
00:07:42,1916,casual
00:07:42,3359,member
00:07:43,2010,casual
00:07:43,3362,member
00:07:44,1853,casual
00:07:44,3436,member
00:07:45,1885,casual
00:07:45,3463,member
00:07:46,1838,casual
00:07:46,3399,member
00:07:47,1927,casual
00:07:47,3351,member
00:07:48,1797,casual
00:07:48,3432,member
00:07:49,1771,casual
00:07:49,3420,member
00:07:50,1926,casual
00:07:50,3375,member
00:07:51,1831,casual
00:07:51,3408,member
00:07:52,1919,casual
00:07:52,3358,member
00:07:53,1854,casual
00:07:53,3375,member
00:07:54,1885,casual
00:07:54,3365,member
00:07:55,1851,casual
00:07:55,3423,member
00:07:56,1814,casual
00:07:56,3367,member
00:07:57,1844,casual
00:07:57,3411,member
00:07:58,1891,casual
00:07:58,3308,member
00:07:59,1887,casual
00:07:59,3241,member
00:08:00,1900,casual
00:08:00,3216,member
00:08:01,1851,casual
00:08:01,3256,member
00:08:02,1871,casual
00:08:02,3272,member
00:08:03,1863,casual
00:08:03,3388,member
00:08:04,1891,casual
00:08:04,3229,member
00:08:05,1831,casual
00:08:05,3266,member
00:08:06,1947,casual
00:08:06,3201,member
00:08:07,1874,casual
00:08:07,3342,member
00:08:08,1913,casual
00:08:08,3277,member
00:08:09,1869,casual
00:08:09,3208,member
00:08:10,1872,casual
00:08:10,3167,member
00:08:11,1822,casual
00:08:11,3250,member
00:08:12,1927,casual
00:08:12,3271,member
00:08:13,1857,casual
00:08:13,3074,member
00:08:14,1923,casual
00:08:14,3275,member
00:08:15,1788,casual
00:08:15,3227,member
00:08:16,1982,casual
00:08:16,3259,member
00:08:17,1842,casual
00:08:17,3185,member
00:08:18,1887,casual
00:08:18,3221,member
00:08:19,1891,casual
00:08:19,3152,member
00:08:20,1811,casual
00:08:20,3173,member
00:08:21,1913,casual
00:08:21,3202,member
00:08:22,1815,casual
00:08:22,3136,member
00:08:23,1788,casual
00:08:23,3146,member
00:08:24,1895,casual
00:08:24,3130,member
00:08:25,1941,casual
00:08:25,3203,member
00:08:26,1841,casual
00:08:26,3199,member
00:08:27,1872,casual
00:08:27,3200,member
00:08:28,1857,casual
00:08:28,3181,member
00:08:29,1891,casual
00:08:29,3179,member
00:08:30,1824,casual
00:08:30,3202,member
00:08:31,1815,casual
00:08:31,3149,member
00:08:32,1935,casual
00:08:32,3145,member
00:08:33,1867,casual
00:08:33,3151,member
00:08:34,1825,casual
00:08:34,3114,member
00:08:35,1788,casual
00:08:35,3141,member
00:08:36,1823,casual
00:08:36,3026,member
00:08:37,1884,casual
00:08:37,3081,member
00:08:38,1818,casual
00:08:38,3021,member
00:08:39,1800,casual
00:08:39,3106,member
00:08:40,1797,casual
00:08:40,3173,member
00:08:41,1859,casual
00:08:41,3150,member
00:08:42,1865,casual
00:08:42,2957,member
00:08:43,1866,casual
00:08:43,3065,member
00:08:44,1767,casual
00:08:44,2944,member
00:08:45,1861,casual
00:08:45,3051,member
00:08:46,1775,casual
00:08:46,3100,member
00:08:47,1864,casual
00:08:47,2951,member
00:08:48,1712,casual
00:08:48,2993,member
00:08:49,1805,casual
00:08:49,3035,member
00:08:50,1818,casual
00:08:50,2921,member
00:08:51,1815,casual
00:08:51,3051,member
00:08:52,1793,casual
00:08:52,3068,member
00:08:53,1764,casual
00:08:53,2892,member
00:08:54,1779,casual
00:08:54,2883,member
00:08:55,1852,casual
00:08:55,2818,member
00:08:56,1834,casual
00:08:56,3023,member
00:08:57,1733,casual
00:08:57,2985,member
00:08:58,1866,casual
00:08:58,2913,member
00:08:59,1835,casual
00:08:59,3063,member
00:09:00,1804,casual
00:09:00,3122,member
00:09:01,1779,casual
00:09:01,2887,member
00:09:02,1734,casual
00:09:02,2958,member
00:09:03,1846,casual
00:09:03,2908,member
00:09:04,1717,casual
00:09:04,2947,member
00:09:05,1723,casual
00:09:05,2889,member
00:09:06,1844,casual
00:09:06,2890,member
00:09:07,1887,casual
00:09:07,2965,member
00:09:08,1737,casual
00:09:08,2914,member
00:09:09,1741,casual
00:09:09,2967,member
00:09:10,1772,casual
00:09:10,2954,member
00:09:11,1899,casual
00:09:11,2877,member
00:09:12,1729,casual
00:09:12,2883,member
00:09:13,1769,casual
00:09:13,2880,member
00:09:14,1816,casual
00:09:14,2906,member
00:09:15,1759,casual
00:09:15,2945,member
00:09:16,1719,casual
00:09:16,2770,member
00:09:17,1739,casual
00:09:17,2772,member
00:09:18,1820,casual
00:09:18,2856,member
00:09:19,1747,casual
00:09:19,2924,member
00:09:20,1840,casual
00:09:20,2903,member
00:09:21,1827,casual
00:09:21,2873,member
00:09:22,1753,casual
00:09:22,2899,member
00:09:23,1784,casual
00:09:23,2888,member
00:09:24,1758,casual
00:09:24,2907,member
00:09:25,1744,casual
00:09:25,2828,member
00:09:26,1706,casual
00:09:26,2900,member
00:09:27,1840,casual
00:09:27,2836,member
00:09:28,1741,casual
00:09:28,2878,member
00:09:29,1739,casual
00:09:29,2858,member
00:09:30,1738,casual
00:09:30,2776,member
00:09:31,1687,casual
00:09:31,2844,member
00:09:32,1752,casual
00:09:32,2883,member
00:09:33,1773,casual
00:09:33,2801,member
00:09:34,1732,casual
00:09:34,2810,member
00:09:35,1739,casual
00:09:35,2879,member
00:09:36,1723,casual
00:09:36,2751,member
00:09:37,1802,casual
00:09:37,2826,member
00:09:38,1736,casual
00:09:38,2803,member
00:09:39,1744,casual
00:09:39,2794,member
00:09:40,1772,casual
00:09:40,2740,member
00:09:41,1733,casual
00:09:41,2718,member
00:09:42,1685,casual
00:09:42,2718,member
00:09:43,1709,casual
00:09:43,2758,member
00:09:44,1650,casual
00:09:44,2694,member
00:09:45,1721,casual
00:09:45,2772,member
00:09:46,1717,casual
00:09:46,2718,member
00:09:47,1740,casual
00:09:47,2713,member
00:09:48,1692,casual
00:09:48,2635,member
00:09:49,1721,casual
00:09:49,2714,member
00:09:50,1758,casual
00:09:50,2697,member
00:09:51,1636,casual
00:09:51,2675,member
00:09:52,1662,casual
00:09:52,2713,member
00:09:53,1674,casual
00:09:53,2737,member
00:09:54,1760,casual
